"sale_id","prefix_length","previous_products","answer_product_ids"
"2265","1","[227]","[228,232,82,112,83,207,55,127,9]"
"2265","2","[227,228]","[232,82,112,83,207,55,127,9]"
"2265","3","[227,228,232]","[82,112,83,207,55,127,9]"
"2265","4","[227,228,232,82]","[112,83,207,55,127,9]"
"2265","5","[227,228,232,82,112]","[83,207,55,127,9]"
"2265","6","[227,228,232,82,112,83]","[207,55,127,9]"
"2265","7","[227,228,232,82,112,83,207]","[55,127,9]"
"2265","8","[227,228,232,82,112,83,207,55]","[127,9]"
"2265","9","[227,228,232,82,112,83,207,55,127]","[9]"
"2266","1","[76]","[78,75,14,266,55]"
"2266","2","[76,78]","[75,14,266,55]"
"2266","3","[76,78,75]","[14,266,55]"
"2266","4","[76,78,75,14]","[266,55]"
"2266","5","[76,78,75,14,266]","[55]"
"2267","1","[122]","[274,174,275,238,231]"
"2267","2","[122,274]","[174,275,238,231]"
"2267","3","[122,274,174]","[275,238,231]"
"2267","4","[122,274,174,275]","[238,231]"
"2267","5","[122,274,174,275,238]","[231]"
"2268","1","[246]","[203,167]"
"2268","2","[246,203]","[167]"
"2269","1","[171]","[251,221,24,273,73,153,86,277,265,246]"
"2269","2","[171,251]","[221,24,273,73,153,86,277,265,246]"
"2269","3","[171,251,221]","[24,273,73,153,86,277,265,246]"
"2269","4","[171,251,221,24]","[273,73,153,86,277,265,246]"
"2269","5","[171,251,221,24,273]","[73,153,86,277,265,246]"
"2269","6","[171,251,221,24,273,73]","[153,86,277,265,246]"
"2269","7","[171,251,221,24,273,73,153]","[86,277,265,246]"
"2269","8","[171,251,221,24,273,73,153,86]","[277,265,246]"
"2269","9","[171,251,221,24,273,73,153,86,277]","[265,246]"
"2269","10","[171,251,221,24,273,73,153,86,277,265]","[246]"
"2270","1","[78]","[75,238,217]"
"2270","2","[78,75]","[238,217]"
"2270","3","[78,75,238]","[217]"
"2271","1","[77]","[75,78,64,187,66,204]"
"2271","2","[77,75]","[78,64,187,66,204]"
"2271","3","[77,75,78]","[64,187,66,204]"
"2271","4","[77,75,78,64]","[187,66,204]"
"2271","5","[77,75,78,64,187]","[66,204]"
"2271","6","[77,75,78,64,187,66]","[204]"
"2272","1","[109]","[277,204,6,202]"
"2272","2","[109,277]","[204,6,202]"
"2272","3","[109,277,204]","[6,202]"
"2272","4","[109,277,204,6]","[202]"
"2273","1","[76]","[78,77,238,15,60]"
"2273","2","[76,78]","[77,238,15,60]"
"2273","3","[76,78,77]","[238,15,60]"
"2273","4","[76,78,77,238]","[15,60]"
"2273","5","[76,78,77,238,15]","[60]"
"2274","1","[251]","[168,123,78,75,265,238,275,232,231,279]"
"2274","2","[251,168]","[123,78,75,265,238,275,232,231,279]"
"2274","3","[251,168,123]","[78,75,265,238,275,232,231,279]"
"2274","4","[251,168,123,78]","[75,265,238,275,232,231,279]"
"2274","5","[251,168,123,78,75]","[265,238,275,232,231,279]"
"2274","6","[251,168,123,78,75,265]","[238,275,232,231,279]"
"2274","7","[251,168,123,78,75,265,238]","[275,232,231,279]"
"2274","8","[251,168,123,78,75,265,238,275]","[232,231,279]"
"2274","9","[251,168,123,78,75,265,238,275,232]","[231,279]"
"2274","10","[251,168,123,78,75,265,238,275,232,231]","[279]"
"2275","1","[240]","[200,277,78,75,4,130]"
"2275","2","[240,200]","[277,78,75,4,130]"
"2275","3","[240,200,277]","[78,75,4,130]"
"2275","4","[240,200,277,78]","[75,4,130]"
"2275","5","[240,200,277,78,75]","[4,130]"
"2275","6","[240,200,277,78,75,4]","[130]"
"2276","1","[251]","[251]"
"2279","1","[76]","[75,238,78]"
"2279","2","[76,75]","[238,78]"
"2279","3","[76,75,238]","[78]"
"2280","1","[111]","[200,267]"
"2280","2","[111,200]","[267]"
"2281","1","[187]","[269,265,206,243,222,275,280,279]"
"2281","2","[187,269]","[265,206,243,222,275,280,279]"
"2281","3","[187,269,265]","[206,243,222,275,280,279]"
"2281","4","[187,269,265,206]","[243,222,275,280,279]"
"2281","5","[187,269,265,206,243]","[222,275,280,279]"
"2281","6","[187,269,265,206,243,222]","[275,280,279]"
"2281","7","[187,269,265,206,243,222,275]","[280,279]"
"2281","8","[187,269,265,206,243,222,275,280]","[279]"
"2282","1","[55]","[228,269,14,281,58,56]"
"2282","2","[55,228]","[269,14,281,58,56]"
